hunger,food,action
0.256154,0.789077,eat
0.114206,0.128234,pass
0.218113,0.330176,pass
0.459503,0.488771,pass
0.032322,0.487162,pass
0.364679,0.412621,pass
0.605277,0.186995,pass
0.653782,0.235470,eat
0.811041,0.987836,eat
0.057938,0.530411,pass
0.192973,0.929880,pass
0.973126,0.264880,pass
0.631051,0.963186,pass
0.446674,0.605953,eat
0.355214,0.198400,pass
0.444463,0.266714,pass
0.852305,0.826481,eat
0.725273,0.902577,eat
0.932336,0.209634,eat
0.664991,0.846662,eat
0.849588,0.341990,pass
0.024080,0.595512,pass
0.130138,0.129191,pass
0.281810,0.697423,pass
0.256391,0.424336,pass
0.822887,0.594430,eat
0.966395,0.095434,eat
0.740108,0.202335,pass
0.332166,0.419515,pass
0.675719,0.249628,eat
0.200298,0.804850,pass
0.283535,0.691031,pass
0.145578,0.227199,pass
0.826727,0.559159,pass
0.567764,0.206759,pass
0.558617,0.706796,eat
0.396207,0.004627,pass
0.123786,0.622972,pass
0.724992,0.190516,pass
0.018253,0.089585,pass
0.472862,0.861472,eat
0.307926,0.596998,pass
0.028713,0.545521,pass
0.029721,0.692422,eat
0.501017,0.334113,pass
0.257546,0.658761,eat
0.698233,0.183229,eat
0.878908,0.529027,eat
0.902612,0.807322,eat
0.616859,0.623983,eat
0.344488,0.435819,eat
0.174852,0.807870,eat
0.318685,0.743780,pass
0.730415,0.914992,eat
0.644864,0.921875,pass
0.911754,0.917519,eat
0.680475,0.489471,eat
0.232456,0.753208,pass
0.234080,0.804058,eat
0.712087,0.827815,pass
0.364308,0.623707,pass
0.221936,0.383572,pass
0.289906,0.494474,pass
0.807576,0.142861,eat
0.031374,0.930210,eat
0.384725,0.348275,pass
0.481789,0.368996,pass
0.621820,0.330233,pass
0.300832,0.492302,pass
0.730411,0.347724,pass
0.382214,0.667882,eat
0.509579,0.713758,pass
0.908681,0.657087,eat
0.984760,0.791952,eat
0.498568,0.265059,eat
0.697507,0.190329,eat
0.322711,0.205223,pass
0.496143,0.627856,eat
0.976720,0.499578,eat
0.316882,0.519012,pass
0.225316,0.594517,pass
0.353244,0.558078,eat
0.827543,0.582912,eat
0.794958,0.706069,eat
0.019843,0.352273,eat
0.745283,0.987971,eat
0.236286,0.310407,pass
0.921803,0.706240,eat
0.522080,0.702996,pass
0.481219,0.719448,pass
0.705827,0.454101,pass
0.679869,0.549901,pass
0.222149,0.336518,pass
0.803351,0.773674,eat
0.598507,0.615842,pass
0.981488,0.617823,eat
0.509097,0.897115,eat
0.544376,0.209026,pass
0.192610,0.363111,pass
0.733759,0.356134,pass
0.135900,0.553874,pass
0.894057,0.432863,eat
0.462594,0.279299,eat
0.656300,0.399454,pass
0.755945,0.932892,eat
0.379210,0.104317,pass
0.643846,0.956358,pass
0.387971,0.300732,pass
0.371082,0.276156,pass
0.298244,0.333926,pass
0.762298,0.248168,pass
0.318881,0.338538,pass
0.397208,0.207157,pass
0.329654,0.566264,pass
0.422487,0.989863,pass
0.449158,0.362334,pass
0.751616,0.560285,eat
0.145679,0.710480,eat
0.091226,0.393055,pass
0.028236,0.597602,pass
0.455744,0.590515,pass
0.501778,0.626332,eat
0.126627,0.171180,pass
0.692247,0.649377,eat
0.614815,0.898384,eat
0.661715,0.742289,eat
0.671262,0.167434,eat
0.586403,0.679705,pass
0.253741,0.995723,pass
0.178849,0.991931,eat
0.375018,0.411407,pass
0.592487,0.091737,pass
0.728548,0.546591,eat
0.092225,0.033969,pass
0.801618,0.912968,eat
0.889196,0.997789,eat
0.210631,0.502225,pass
0.082318,0.500070,pass
0.842314,0.806706,eat
0.641196,0.703778,pass
0.431727,0.387504,pass
0.352180,0.951814,pass
0.434298,0.947631,pass
0.989730,0.946867,eat
0.301754,0.492377,eat
0.733630,0.664617,eat
0.239454,0.969209,eat
0.208148,0.908722,pass
0.662284,0.961689,eat
0.572455,0.829869,pass
0.482015,0.567430,pass
0.177502,0.043193,pass
0.191325,0.961057,eat
0.679023,0.162070,pass
0.340445,0.192642,pass
0.004829,0.949777,pass
0.312398,0.449224,pass
0.306724,0.048807,pass
0.003257,0.057313,pass
0.408960,0.203523,pass
0.629433,0.905835,eat
0.990423,0.393158,eat
0.827204,0.377782,eat
0.345251,0.103812,pass
0.389862,0.094386,pass
0.761314,0.533302,eat
0.123687,0.212305,pass
0.640648,0.348413,pass
0.099573,0.553075,pass
0.840686,0.145922,eat
0.154873,0.638129,pass
0.764700,0.734459,eat
0.609365,0.075920,pass
0.642302,0.346531,pass
0.820819,0.336254,eat
0.647558,0.477032,pass
0.844788,0.068237,pass
0.744364,0.948239,eat
0.844717,0.734782,eat
0.087393,0.986417,pass
0.034359,0.985790,pass
0.594983,0.803316,eat
0.424518,0.908511,eat
0.966500,0.319499,eat
0.084382,0.222130,pass
0.755006,0.174241,eat
0.170702,0.100483,pass
0.124991,0.751719,eat
0.723519,0.460401,eat
0.862567,0.788867,eat
0.644377,0.423046,pass
0.782286,0.957354,eat
0.521320,0.844454,eat
0.561983,0.608345,pass
0.821351,0.763302,eat
0.065960,0.917281,pass
0.748500,0.296113,pass
0.483752,0.285053,pass
0.857838,0.974093,eat
0.742523,0.782338,eat
0.824629,0.816455,pass
0.080947,0.563655,pass
0.874050,0.977806,eat
0.795756,0.710687,eat
0.829287,0.384928,eat
0.933259,0.676946,pass
0.791467,0.426108,eat
0.310091,0.390051,pass
0.460363,0.870674,eat
0.314756,0.064810,pass
0.727698,0.059722,pass
0.597135,0.758587,pass
0.328121,0.138678,pass
0.486008,0.582399,eat
0.442349,0.518283,pass
0.443437,0.008726,eat
0.623393,0.153755,pass
0.626108,0.108610,pass
0.353722,0.429574,pass
0.045415,0.304801,pass
0.430101,0.020767,pass
0.242278,0.812710,pass
0.033524,0.304201,pass
0.916827,0.221394,eat
0.697793,0.161758,pass
0.267154,0.391431,pass
0.243797,0.320925,pass
0.865194,0.431339,pass
0.895495,0.404623,eat
0.902090,0.898506,eat
0.658298,0.037626,pass
0.049181,0.392548,pass
0.773198,0.896631,eat
0.252474,0.823185,pass
0.334676,0.398110,pass
0.250528,0.176444,pass
0.756257,0.647475,pass
0.446982,0.563113,pass
0.309582,0.311110,pass
0.044060,0.075151,pass
0.422044,0.709873,pass
0.279139,0.475380,pass
0.795273,0.242914,pass
0.706111,0.462040,pass
0.447542,0.931755,pass
0.834741,0.881798,eat
0.106082,0.571219,pass
0.832191,0.833506,eat
0.556832,0.090189,pass
0.906248,0.364999,eat
0.919067,0.754101,pass
0.970162,0.046857,pass
0.361998,0.450663,pass
0.919291,0.759198,eat
0.142437,0.018988,pass
0.494214,0.339849,pass
0.496947,0.095650,pass
0.549500,0.967911,eat
0.490843,0.197565,pass
0.246373,0.778658,eat
0.190346,0.968111,eat
0.062510,0.885061,pass
0.959887,0.091215,pass
0.242857,0.525843,eat
0.479519,0.486535,pass
0.000434,0.386964,pass
0.082581,0.535135,pass
0.109238,0.461437,eat
0.357167,0.162762,eat
0.661942,0.847764,eat
0.886472,0.814004,eat
0.938655,0.321463,pass
0.990988,0.321298,pass
0.004322,0.697510,pass
0.965767,0.254277,eat
0.430300,0.724920,pass
0.628519,0.594429,pass
0.491089,0.459697,pass
0.280886,0.728827,pass
0.837485,0.806889,eat
0.528281,0.564845,pass
0.648100,0.779873,pass
0.023170,0.825563,pass
0.766614,0.822950,eat
0.551451,0.574023,pass
0.652864,0.970613,eat
0.642362,0.557072,pass
0.957621,0.357306,eat
0.549544,0.502652,pass
0.779772,0.065778,pass
0.797750,0.867285,eat
0.908276,0.429574,eat
0.488234,0.167470,pass
0.624059,0.001816,pass
0.096090,0.599116,pass
0.008593,0.550136,pass
0.520511,0.736172,eat
0.352371,0.771600,eat
0.552564,0.727256,pass
0.652408,0.092539,pass
0.246187,0.933112,eat
0.688262,0.000164,pass
0.271436,0.124183,pass
0.090437,0.316380,pass
0.683910,0.200028,eat
0.786205,0.600569,eat
0.562937,0.165447,pass
0.957697,0.227781,pass
0.541783,0.319059,pass
0.696766,0.333785,pass
0.791294,0.111548,eat
0.949798,0.673095,eat
0.293284,0.161699,pass
0.581569,0.382164,eat
0.481793,0.554087,pass
0.268447,0.475923,eat
0.507655,0.201158,pass
0.053395,0.389992,pass
0.582610,0.712512,pass
0.714775,0.947956,eat
0.763796,0.590571,eat
0.076339,0.655527,pass
0.804522,0.795698,eat
0.368333,0.699601,pass
0.259711,0.385176,eat
0.353534,0.148512,pass
0.205779,0.699987,eat
0.922532,0.453788,eat
0.057373,0.359645,pass
0.153677,0.965071,pass
0.629350,0.476436,pass
0.594721,0.864714,pass
0.082455,0.239532,pass
0.974860,0.539453,eat
0.133821,0.373299,pass
0.963453,0.291001,eat
0.568825,0.750358,pass
0.346778,0.260596,pass
0.138018,0.160133,pass
0.274096,0.036308,pass
0.409416,0.422745,eat
0.178493,0.459282,pass
0.317187,0.894109,pass
0.068270,0.550813,pass
0.469301,0.967953,pass
0.582830,0.485765,pass
0.281677,0.725345,pass
0.195636,0.855105,pass
0.032710,0.264514,pass
0.303904,0.889920,eat
0.512010,0.620960,eat
0.761158,0.758978,eat
0.215568,0.569090,pass
0.563886,0.616835,pass
0.787294,0.073594,pass
0.344006,0.093606,eat
0.617259,0.952831,pass
0.456513,0.643117,pass
0.474612,0.354507,eat
0.418858,0.579551,pass
0.375599,0.282064,eat
0.834272,0.926011,eat
0.082251,0.425483,pass
0.376643,0.218330,pass
0.968471,0.553766,eat
0.278779,0.803814,pass
0.329234,0.818445,pass
0.452415,0.324280,eat
0.526890,0.345731,pass
0.601847,0.408588,pass
0.420126,0.884410,pass
0.124637,0.969934,eat
0.168653,0.331042,pass
0.867193,0.735239,eat
0.854950,0.066144,pass
0.950083,0.680209,eat
0.696150,0.934326,eat
0.011200,0.199468,pass
0.957172,0.463615,eat
0.020615,0.200753,pass
0.883496,0.514209,pass
0.545041,0.403056,pass
0.629982,0.238810,eat
0.922516,0.668089,eat
0.694306,0.166895,eat
0.736717,0.339905,pass
0.214507,0.315010,pass
0.002621,0.938635,pass
0.155930,0.706087,pass
0.234693,0.147535,pass
0.737099,0.315248,eat
0.732200,0.009344,pass
0.354731,0.807655,pass
0.986459,0.524401,eat
0.233245,0.262079,pass
0.121058,0.488022,pass
0.271340,0.378414,pass
0.176103,0.705582,pass
0.791646,0.696644,pass
0.993038,0.029548,eat
0.899675,0.667131,eat
0.418135,0.318344,eat
0.969576,0.809827,eat
0.540587,0.284844,pass
0.443650,0.291530,pass
0.545017,0.589850,pass
0.117915,0.810193,pass
0.656261,0.962172,pass
0.459500,0.574215,eat
0.041121,0.771199,pass
0.251727,0.212455,pass
0.767042,0.588580,pass
0.231440,0.795574,eat
0.770670,0.937394,eat
0.699809,0.089663,pass
0.907808,0.062373,eat
0.342313,0.307604,eat
0.383294,0.231305,pass
0.967018,0.851350,eat
0.955050,0.163320,eat
0.702265,0.294670,pass
0.626517,0.275485,pass
0.623120,0.997631,eat
0.643894,0.484305,pass
0.038401,0.663826,pass
0.781010,0.039364,eat
0.727390,0.958862,eat
0.643236,0.080968,pass
0.993133,0.545969,eat
0.313562,0.648489,pass
0.173278,0.277229,eat
0.418507,0.895770,pass
0.157875,0.787966,pass
0.640947,0.726718,eat
0.265508,0.187482,eat
0.929642,0.487095,eat
0.786008,0.455445,eat
0.302859,0.502037,pass
0.765710,0.344451,eat
0.951305,0.872412,eat
0.323527,0.898139,pass
0.959467,0.611972,eat
0.119044,0.839382,pass
0.110331,0.639083,eat
0.499622,0.653385,pass
0.635384,0.310621,pass
0.286284,0.173376,pass
0.956081,0.313313,eat
0.016262,0.502670,pass
0.008964,0.950938,eat
0.299184,0.552018,pass
0.873300,0.976464,eat
0.365747,0.029973,pass
0.618069,0.784264,eat
0.379549,0.831188,eat
0.126707,0.625537,pass
0.170516,0.651378,pass
0.789043,0.660404,eat
0.629666,0.782451,pass
0.603061,0.415411,pass
0.428379,0.005188,pass
0.766899,0.975704,eat
0.401520,0.950477,eat
0.312486,0.069805,pass
0.044607,0.968594,pass
0.767634,0.930495,eat
0.839172,0.656458,eat
0.535067,0.520412,pass
0.010714,0.055173,pass
0.153134,0.059583,pass
0.055382,0.694185,pass
0.391033,0.439343,pass
0.491481,0.539800,eat
0.997101,0.823817,eat
0.265356,0.341128,pass
0.831533,0.667815,eat
0.889747,0.096892,eat
0.166211,0.273135,pass
0.257092,0.307152,pass
0.959704,0.162409,eat
0.384018,0.804645,pass
0.415186,0.031930,pass
0.714637,0.450292,pass
0.376352,0.028916,pass
0.128535,0.240824,pass
0.437377,0.771569,pass
0.798132,0.697721,eat
0.617513,0.474146,pass
0.051169,0.073433,pass
0.537697,0.597279,pass
0.641799,0.155896,pass
0.738387,0.431374,eat
0.879612,0.422202,eat
0.054657,0.523474,pass
0.918986,0.546098,eat
0.510591,0.875081,pass
0.891939,0.026056,pass
0.122548,0.635890,pass
0.074679,0.965631,pass
0.754710,0.242645,eat
0.689331,0.213314,pass
0.300726,0.834338,pass
0.927856,0.646033,eat
0.629112,0.470124,eat
0.775707,0.082634,pass
0.588713,0.785418,eat
0.317280,0.718334,pass
0.649725,0.370038,pass
0.596704,0.670786,pass
0.524497,0.104370,pass
0.605154,0.003734,pass
0.901418,0.553596,eat
0.717422,0.405103,pass
0.509407,0.823038,eat
0.219976,0.598013,pass
0.070720,0.146937,pass
0.843880,0.057272,pass
0.840414,0.297228,eat
0.825433,0.251594,eat
0.692486,0.174505,eat
0.391420,0.487403,pass
0.244371,0.843375,pass
0.495326,0.792876,eat
0.469490,0.733373,eat
0.505814,0.255466,pass
0.854327,0.214450,eat
0.702434,0.132835,pass
0.279596,0.822169,pass
0.763015,0.754386,eat
0.671032,0.192024,eat
0.388335,0.753026,pass
0.993336,0.373965,pass
0.864677,0.335868,eat
0.250956,0.924754,eat
0.735585,0.487133,eat
0.594706,0.526901,pass
0.948637,0.302751,eat
0.237787,0.100436,pass
0.022519,0.348332,pass
0.883197,0.030890,pass
0.066519,0.863000,pass
0.730776,0.218842,pass
0.821372,0.966395,eat
0.761379,0.717076,eat
0.415449,0.394927,pass
0.438866,0.736448,pass
0.517143,0.573291,pass
0.542035,0.319107,pass
0.556863,0.441321,pass
0.109514,0.215332,pass
0.072920,0.316473,pass
0.084364,0.031752,pass
0.950900,0.775191,eat
0.191388,0.032742,pass
0.942015,0.275379,eat
0.094052,0.998707,pass
0.141059,0.813172,pass
0.176481,0.554389,pass
0.017450,0.326071,pass
0.472653,0.815696,eat
0.165954,0.423931,pass
0.769555,0.841021,eat
0.551838,0.322331,pass
0.008230,0.934009,pass
0.038191,0.014313,pass
0.164315,0.005004,pass
0.833590,0.997718,eat
0.819880,0.971949,eat
0.487487,0.731605,pass
0.289010,0.046209,pass
0.741466,0.215309,eat
0.088434,0.841003,pass
0.273877,0.314683,pass
0.086152,0.848392,pass
0.472641,0.627254,eat
0.818354,0.704639,pass
0.009388,0.463177,pass
0.284408,0.313600,pass
0.707048,0.580749,eat
0.988183,0.140646,pass
0.742877,0.564083,pass
0.804077,0.768913,eat
0.650047,0.906881,pass
0.658171,0.351449,pass
0.957815,0.380011,eat
0.030925,0.834060,pass
0.737909,0.420203,pass
0.144702,0.742082,eat
0.826015,0.581388,pass
0.822860,0.322506,pass
0.764451,0.857968,eat
0.129997,0.346140,pass
0.130233,0.865486,eat
0.481838,0.384165,pass
0.854334,0.935702,eat
0.770615,0.126626,pass
0.446033,0.544830,eat
0.188091,0.017280,pass
0.729023,0.415024,pass
0.249217,0.960414,eat
0.829962,0.379704,eat
0.268487,0.144995,pass
0.951724,0.328342,eat
0.908525,0.358918,pass
0.007947,0.130821,pass
0.556608,0.066962,pass
0.215163,0.042254,pass
0.868098,0.565484,eat
0.705485,0.832508,eat
0.337475,0.929462,pass
0.966338,0.404440,eat
0.657318,0.554056,pass
0.234126,0.417444,pass
0.363419,0.213601,pass
0.479689,0.898564,pass
0.954372,0.759777,eat
0.645371,0.388620,pass
0.457081,0.630091,eat
0.913222,0.110284,pass
0.005065,0.187385,pass
0.889107,0.324473,pass
0.578481,0.018356,pass
0.568806,0.751947,pass
0.288344,0.595964,pass
0.996683,0.999251,eat
0.278459,0.620077,pass
0.333587,0.226642,pass
0.722998,0.912011,eat
0.500637,0.140075,pass
0.701368,0.809849,pass
0.916316,0.919779,eat
0.870486,0.786375,pass
0.661267,0.291600,eat
0.550633,0.860011,pass
0.871729,0.658168,eat
0.539099,0.753737,pass
0.324226,0.041153,pass
0.401976,0.389283,pass
0.286832,0.874785,pass
0.928002,0.364677,pass
0.966629,0.287438,pass
0.474118,0.256756,pass
0.462384,0.581581,eat
0.658750,0.266045,pass
0.157561,0.877257,eat
0.076077,0.528464,pass
0.195529,0.451899,pass
0.803659,0.015938,pass
0.364645,0.058227,pass
0.232130,0.251788,pass
0.662744,0.201307,pass
0.934304,0.073210,eat
0.122788,0.088194,pass
0.443194,0.366575,pass
0.840322,0.730307,eat
0.093656,0.581878,pass
0.782083,0.126727,pass
0.256093,0.134942,pass
0.691582,0.687004,pass
0.541351,0.225062,pass
0.251923,0.554366,pass
0.783466,0.214474,eat
0.427117,0.012321,pass
0.054942,0.054363,pass
0.824696,0.426695,eat
0.116628,0.473894,pass
0.321578,0.360795,pass
0.488999,0.873487,pass
0.770604,0.232859,eat
0.431608,0.973499,eat
0.317647,0.754844,pass
0.841586,0.718293,eat
0.738502,0.229453,pass
0.364944,0.715835,eat
0.778817,0.171404,eat
0.931281,0.639573,pass
0.484802,0.315855,pass
0.902450,0.979482,eat
0.747123,0.040791,pass
0.795746,0.261654,pass
0.651330,0.377776,pass
0.868982,0.705457,eat
0.293738,0.104022,pass
0.116962,0.690058,pass
0.294512,0.251091,pass
0.680251,0.905702,eat
0.455271,0.108203,pass
0.993274,0.465933,eat
0.557412,0.523519,pass
0.486345,0.614251,pass
0.706692,0.597619,eat
0.938128,0.761933,eat
0.869067,0.168725,eat
0.084496,0.660857,pass
0.000064,0.328416,pass
0.100722,0.689188,pass
0.117901,0.905648,pass
0.020608,0.076112,pass
0.989110,0.518627,eat
0.319542,0.698162,pass
0.574124,0.381021,eat
0.322509,0.542307,pass
0.264909,0.467600,pass
0.037499,0.564186,pass
0.859686,0.269317,eat
0.322817,0.294749,pass
0.671580,0.543410,eat
0.795163,0.394554,pass
0.598427,0.767772,eat
0.468914,0.528000,eat
0.803825,0.725921,eat
0.904677,0.510779,eat
0.322158,0.036462,pass
0.339828,0.952228,pass
0.134975,0.616923,pass
0.426286,0.636093,pass
0.177869,0.569745,pass
0.924071,0.635295,eat
0.909964,0.594967,eat
0.035728,0.829685,pass
0.603745,0.875758,eat
0.204932,0.331853,pass
0.329923,0.412243,pass
0.665953,0.012266,pass
0.438444,0.322341,pass
0.933398,0.442231,pass
0.488126,0.558803,pass
0.154214,0.986090,pass
0.532220,0.568985,eat
0.532399,0.172305,eat
0.994579,0.223389,eat
0.153128,0.053507,pass
0.748100,0.726548,pass
0.843320,0.481782,eat
0.689996,0.480024,pass
0.702539,0.157214,pass
0.426158,0.194582,pass
0.780213,0.180233,eat
0.914563,0.221804,pass
0.014207,0.062865,pass
0.125025,0.781148,pass
0.883679,0.784153,eat
0.539711,0.554685,eat
0.608300,0.883767,pass
0.731409,0.542984,pass
0.816773,0.996126,eat
0.007022,0.713204,pass
0.399424,0.142682,pass
0.705982,0.695762,eat
0.868090,0.588896,pass
0.030005,0.195376,eat
0.679888,0.401710,eat
0.919518,0.629237,eat
0.151415,0.590654,pass
0.378231,0.806824,eat
0.022463,0.536110,pass
0.951350,0.306767,eat
0.101252,0.570978,pass
0.007032,0.678694,pass
0.160889,0.820534,pass
0.945766,0.861585,eat
0.846952,0.683530,eat
0.985344,0.923381,eat
0.935100,0.504323,pass
0.052294,0.784748,pass
0.654268,0.705110,eat
0.387544,0.473972,pass
0.137449,0.637555,pass
0.117699,0.579892,pass
0.303305,0.855950,pass
0.973652,0.101989,pass
0.528983,0.755315,eat
0.939418,0.403705,eat
0.207609,0.457827,pass
0.770364,0.714536,eat
0.746529,0.279519,pass
0.306526,0.989531,eat
0.477576,0.670231,pass
0.605345,0.008440,pass
0.082411,0.208153,pass
0.385276,0.841880,pass
0.759928,0.679128,eat
0.162955,0.798098,pass
0.563215,0.960296,eat
0.548104,0.231923,pass
0.572532,0.127385,pass
0.918938,0.675600,eat
0.249841,0.058433,pass
0.121480,0.418227,pass
0.066232,0.726593,pass
0.912048,0.701520,eat
0.416338,0.627458,eat
0.432830,0.160473,pass
0.080499,0.221243,pass
0.314336,0.212649,pass
0.482345,0.199328,pass
0.854600,0.443300,eat
0.501936,0.962336,pass
0.060616,0.291162,pass
0.713902,0.024411,pass
0.584354,0.176146,pass
0.658382,0.722714,eat
0.563368,0.285125,eat
0.839138,0.712668,eat
0.293834,0.797539,pass
0.932832,0.073907,pass
0.920643,0.251939,eat
0.093238,0.796218,pass
0.913315,0.602126,eat
0.808204,0.973395,eat
0.323240,0.125785,pass
0.598830,0.007891,pass
0.280417,0.902931,pass
0.073741,0.331822,pass
0.482992,0.160417,pass
0.736317,0.575284,eat
0.072428,0.532801,pass
0.408535,0.279659,pass
0.751463,0.204311,eat
0.776836,0.246645,pass
0.299292,0.189283,pass
0.704763,0.136585,pass
0.950434,0.968066,eat
0.356473,0.470285,pass
0.739394,0.134355,pass
0.236860,0.705359,pass
0.135866,0.347234,pass
0.575725,0.640078,eat
0.443492,0.922725,eat
0.943557,0.998949,eat
0.333039,0.020299,pass
0.203380,0.026374,pass
0.270447,0.594968,pass
0.866992,0.668569,pass
0.672768,0.809392,eat
0.760140,0.180901,pass
0.097670,0.770463,pass
0.668952,0.568123,pass
0.181313,0.107545,pass
0.256190,0.730476,eat
0.011253,0.788531,pass
0.725218,0.499697,eat
0.137386,0.662320,pass
0.199856,0.907676,pass
0.678552,0.020985,pass
0.521608,0.405934,pass
0.192070,0.215576,pass
0.933905,0.892953,eat
0.238973,0.185321,pass
0.928950,0.454552,eat
0.279892,0.303967,pass
0.811747,0.309144,eat
0.650947,0.880207,eat
0.683520,0.023388,pass
0.035339,0.837838,pass
0.120208,0.072256,pass
0.315754,0.343361,pass
0.311021,0.230072,pass
0.187739,0.349286,pass
0.984402,0.404542,eat
0.137472,0.736306,pass
0.732910,0.555591,pass
0.035692,0.074275,pass
0.562354,0.062391,pass
0.920001,0.390666,eat
0.341427,0.648429,pass
0.474409,0.975244,pass
0.798915,0.435500,eat
0.535369,0.875901,pass
0.038691,0.383703,pass
0.062121,0.698319,pass
0.400850,0.361099,pass
0.439498,0.931184,pass
0.796683,0.287683,pass
0.652468,0.432845,pass
0.101152,0.861394,pass
0.996042,0.968654,eat
0.953226,0.942074,eat
0.858789,0.429921,eat
0.548762,0.937238,pass
0.228608,0.457011,pass
0.254712,0.434217,pass
0.653589,0.975209,eat
0.348230,0.611191,pass
0.049752,0.150077,pass
0.282558,0.841874,pass
0.859542,0.429619,pass
0.341118,0.639968,pass
0.644934,0.614401,pass
0.001253,0.600082,pass
0.393843,0.723782,eat
0.479888,0.291335,pass
0.304536,0.997006,pass
0.594309,0.322655,pass
0.386114,0.491079,pass
0.594670,0.600040,pass
0.376011,0.174684,pass
0.589884,0.766995,pass
0.935383,0.650668,eat
0.884192,0.191135,eat
0.366502,0.258690,pass
0.950939,0.764417,eat
0.633974,0.898661,pass
0.190322,0.177207,pass
0.466296,0.378488,pass
0.258659,0.347636,pass
0.605378,0.486515,pass
0.255239,0.382808,pass
0.082596,0.770486,pass
0.267204,0.775047,pass
0.142725,0.387725,pass
0.804187,0.601732,eat
0.220960,0.222697,pass
0.652180,0.758772,eat
0.464227,0.161562,pass
0.880657,0.235029,pass
0.096419,0.927018,pass
0.501478,0.600541,pass
0.321256,0.684822,pass
0.611717,0.307806,pass
0.714933,0.178013,eat
0.729021,0.475412,eat
0.986315,0.855702,eat
0.385475,0.246156,pass
0.642415,0.566590,eat
0.134561,0.238627,pass
0.046769,0.008101,pass
0.530609,0.864413,pass
0.763744,0.590071,eat
0.040893,0.498277,pass
0.608247,0.713664,eat
0.463845,0.498966,pass
0.721211,0.385975,pass
0.052078,0.160733,pass
0.688319,0.563879,pass
